restaurant,chunk
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très bon accueil et super service tout le long du déjeuner. N'étant pas une grande connaisseuse des vins et de leurs accords, je me suis fait guider de l'entrée au dessert avec des recommandations qui se mariaient parfaitement avec les mets. Les plats sont réalisés avec finesse et on le ressent en bouche, un vrai régal ! Très bonne adresse, c'est certain nous y retournerons ! Un grand merci à la serveuse de notre table pour ces découvertes en vin et votre gentillesse. :) Bon courage pour la suite !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Des mets de qualité avec un savoir faire de pro.Du pain aux couverts ,tout est bon et beau.
Une excellente cuisine dans une petite salle un peu bruyante seul bémol.
Bon accueil également et service rapide pour un déjeuner.
A recommander"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Bravo pour cette excellente prestation.
Des produits de grandes qualités, préparés de façon subtile, ce que nous voulons manger aujourd’hui ! Un service charmant, des jeunes filles d’un agréable commerce, souriantes , serviables et efficaces … vraiment une expérience de très grande qualité ! Merci pour cet excellent moment !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Une Bonne table à la Croix Rousse, un service attentionné et très agréable. Nous recommandons et reviendrons !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons passé un moment convivial dans ce restaurant typique de La Croix Rousse.
Les plats sont délicieux et la carte des vins est variée, ce qui nous a permis de goûter à différentes références que nous ne connaissions pas. L’équipe est souriante et attentionnée ! Cela faisait quelques mois que nous n’étions pas venus, nous n’attendrons plus aussi longtemps pour notre prochaine visite !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très belle carte! Un vrai plaisir gustatif. Très bon accueil. Plats dignes d’un gastronomique. Belle carte des vins. Foie gras poêlé, quasi de veau tout était parfait"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Toujours aussi délicieux
Capable de rebondir suite à des remarques. 
Service parfait et chaleureux.
Une des meilleurs table de la Croix rousse."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Soirée en couple pour fête d'anniversaire de mariage, nous avions pris le menu 3 plats, une assiette de jambon et une bouteille de vin. Nous avons été ravis par l'ensemble des plats de l'entrée au dessert. Service très sympathique et professionnel. Une excellente adresse où nous aurons le plaisir de revenir avec des amis."
Aromatic Restaurant,restaurant: Aromatic RestaurantCommentaire : Toujours très bien ! Bon accueil Petit restaurant très agréable dans un coin au calme de La Croix Rousse
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Bon service
Ingrédients de qualité bien cuisinés
Une carte variée
La truite gravelax est excellente
Le cochon, fondant et en bonne quantité
Pour les sèches, parfaitement cuites, le maïs ne domine-t-il pas trop ?
Bref un moment agréable"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Une très bonne soirée, un accueil avec le bon ton.
Le service était au rdv.
Dans l'assiette, c'était parfait."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très bon restaurant, lieu chaleureux, personnel accueillant et à l’écoute, plats original et délicieux. Je recommande !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons adoré ce restaurant. Tout d abord un accueil chaleureux, un service impeccable, rapide et efficace. Et dans l assiette, c était beau et bon : très belles associations de saveurs, originales et délicieuses. On reviendra avec plaisir !"
Aromatic Restaurant,restaurant: Aromatic RestaurantCommentaire : Troisième dîner à Aromatic. C'est indéniablement une valeur sûre ! Cuisine gouteuse et joli cadre. Mention spéciale pour le risotto et les desserts. Nous reviendrons !
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très bonne expérience, le service et la prestation étaient de tres bon niveau .
Nous avons fait une remarque concernant un plat ou l’harrisa prenait le dessus 
L’équipe a été à l’écoute est tres engagée 
Une vrai harmonie règne dans la cuisine on voit que tout le monde tire à même corde 
Un vrai bon restaurant"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Repas de poisson (thon et encornet) très bon. Bon conseil pour le vin. 
Plats bien présentés et recettes originales. Exemple: Tentacule d’encornet snackée, courgette rôtie et en caviar, sauce fromage blanc au cumin, menthe et pommes granny smith
Cadre et personnel agréable"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Restaurant très agréable, très bonne cuisine (gaspacho avec sorbet de scamorza fumée à se damner). 
Service excellent, de très bon conseil, avec sourire et bonne humeur. Portions généreuses à mon sens.
Une belle adresse."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons choisi le menu dégustation. Tous les plats étaient excellents, originaux et en accord avec la saisonnalité. Comme vin, nous avons pris un Bourgogne Hautes-Cotes De Nuits servi à la bonne température. Le personnel était sympathique et le prix convenable. J'espère revenir bientôt. Mes compliments."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très belle expérience : menu du jour abordable (24 €) avec des plats originaux et d'une grande finesse, excellent St Joseph blanc. Si nous étions lyonnais, nous en ferions volontiers notre ""cantine""."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Service attentionné et courtois. Environnement confortable. Cuisine toujours excellente. J'y ai mangé cinq fois ces deux dernières années : carte toujours variée, grande attention portée aux matières premières, préparation légère et équilibrée. Alliance parfaite de la tradition et de l'innovation. Excellence particulière pour les desserts. Bonne carte des vins, également au verre"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Vraiment dommage que ce passe-t-il ?
Alors même que le restaurant n'était pas plein ,
Une attente pas possible, 
Dommage qu'il y a une baisse , de service et de qualité .
Un changement étonnant !!!!!"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Quelle belle soirée. Tout était délicieux de l'accueil à l'assiette. Nous étions 9 adultes et nous avons été installés dans une belle salle, seuls et nous pouvions parler, rire sans gêner les autres tables. Très gentille attention que nous avons vraiment apprécié."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Une cuisine revisitant les recettes que l’on croyait connaître comme ces sardines de Galice qui font redécouvrir le vrai goût de la sardine, le veau qui fait penser au Vitello tonnato. 
Accueil par ailleurs tres sympathique, une terrasse où un intérieur également agréables.
Une belle soirée dans un des meilleurs restaurants de Lyon et…pour un prix tres raisonnable…"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Nous avons passé un très bon moment gustatif avec des plats élégants et raffinés ,très bien équilibrés .
Mention particulière à la directrice de salle et un grand merci pour l'attention que vous nous avez porté"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : À éviter absolument ! Service plus que médiocre, on aurait dit qu’on embêtait le personnel qui était très peu aimable lors de la prise des commandes et des apéritifs. Pour la cuisson de la viande les serveurs nous ont demandé « saignant ça vous va ? » plutôt que de demander à chacun la cuisson désirée, tout cela pour nous rapporter finalement des plats cuits à point. Je suis peut-être venu un « mauvais jour »pour le restaurant mais il n’empêche que le client est censé être privilégié, c’est quand mème nous qui avons payé à la fin et le rapport qualité-prix était loin d’être rentable. Bref, endroit à éviter."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : menu équilibré (un petit bémol : un de 2 desserts un peu trop sucré pour quelqu'un qui en consomme peu ou pas d'habitude)
service impeccable"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Délicieux et créatif, de l'entrée au dessert. Une carte courte mais inspirée, avec des produits de saison."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Très bonne adresse ; la cuisine est raffinée , le service est au top : l’accueil , les explications sur les plats , le sourire !
Nous avons pris le menu dégustation, qui permet de goûter beaucoup de plats, sans être trop lourd car les quantités sont très bien proportionnées.
Bravo !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Venus un soir en couple pour fêter notre anniversaire, nous avons bien été accueillis, l'apéritif maison du moment était bon, à ceci prêt que 2 minutes après arrivaient déjà nos entrées ""désolé c'est sorti un peu vite"". Un peu perturbés de ne pouvoir prendre le temps.. avec un apéritif dont le goût (limoncello) ne collait pas du tout aux saveurs des plats et cela nous embêtait de rajouter du vin sans terminer l'apéritif... Les gnocchis et le bœuf angus étaient tout simplement divins, nous nous sommes vraiment régalés, l'exécution était parfaite. Nous avons moins apprécié la tarte aux fraises/amandes/safran, retrouvant peu de saveur dans la glace safran, mais c'est affaire de goût, le travail de recherche était là. 
Nous avons été débarrassés un peu précipitamment, sans que la personne se rende compte avoir versé le jus de l'assiette sur mon pantalon (forcément un jus assez gras...). 
Nous restons sur une relativement bonne expérience. Mais dommage que la qualité des mets soit grevée par le timing et le service."
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Etablissement très agréable, gastronomie originale et savoureuse.
Tout était conforme à nos attentes"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Accueil et service très sympas et efficaces.
La carte change tous les mois et même si elle est courte, il y en a pour tous les goûts. 
Tout est excellent. 
Belle carte de vins.
Les formules menus permettent de s’en sortir pour un prix raisonnable.
Bref belle découverte; et puis nous étions tellement heureux de pouvoir tester car ce restaurant affiche souvent complet !"
Aromatic Restaurant,"restaurant: Aromatic RestaurantCommentaire : Dîner en tête à tête en terrasse.
De la mise en bouche au dessert, nous nous sommes régalés!
Nous avions choisi le menu en 5 services, à la discrétion du chef.
Une belle adresse classe et cool hautement recommandée !"
